2023-05-08 17:11:43 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-05-08 17:11:43 0 [Note] InnoDB: Uses event mutexes
2023-05-08 17:11:43 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2023-05-08 17:11:43 0 [Note] InnoDB: Number of pools: 1
2023-05-08 17:11:43 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-05-08 17:11:43 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2023-05-08 17:11:43 0 [Note] InnoDB: Completed initialization of buffer pool
2023-05-08 17:11:43 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2023-05-08 17:11:43 0 [Warning] InnoDB: Are you sure you are using the right ib_logfiles to start up the database? Log sequence number in the ib_logfiles is 300288, less than the log sequence number in the first system tablespace file header, 1048603.
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=367] with future log sequence number 721832
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=229] with future log sequence number 721788
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=366] with future log sequence number 721788
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=228] with future log sequence number 720461
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 720461
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 720283
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 720283
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=224] with future log sequence number 720239
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 720239
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=223] with future log sequence number 720195
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=360] with future log sequence number 720195
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=222] with future log sequence number 720151
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=359] with future log sequence number 720151
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=221] with future log sequence number 720107
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=358] with future log sequence number 720107
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=220] with future log sequence number 720063
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=357] with future log sequence number 720063
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=219] with future log sequence number 720019
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=356] with future log sequence number 720019
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=218] with future log sequence number 719975
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=355] with future log sequence number 719975
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=217] with future log sequence number 719931
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=354] with future log sequence number 719931
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=216] with future log sequence number 719887
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=353] with future log sequence number 719887
2023-05-08 17:11:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=215] with future log sequence number 719827
